측정시각;압축압력;배출압력;저장압력;오일온도;모터전류;가동상태
2020-03-01 10:28:24;8.28;-0.02;8.29;58.9;0.04;정지
2020-03-01 11:17:59;9.37;-0.02;9.37;67.2;3.82;가동
2020-03-01 12:07:34;8.32;-0.02;8.32;59.5;0.04;정지
2020-03-01 12:57:07;9.37;-0.02;9.37;67.5;3.79;가동
2020-03-01 13:46:41;8.19;-0.02;8.19;59.6;0.04;정지
2020-03-01 14:36:14;9.2;-0.02;9.2;65.5;0.04;정지
2020-03-01 15:25:48;9.55;-0.02;9.55;65.8;5.73;가동
2020-03-01 16:15:22;9.02;-0.02;9.01;62.6;0.04;정지
2020-03-01 17:04:56;10.06;-0.02;10.05;71.8;3.9;가동
2020-03-01 17:54:29;8.94;-0.02;8.93;61.2;0.04;정지
2020-03-01 18:44:03;10.09;-0.02;10.08;71.2;3.9;가동
2020-03-01 19:33:38;8.9;-0.03;8.9;60.6;0.04;정지
2020-03-01 20:23:11;10.08;-0.02;10.08;70.6;3.9;가동
2020-03-01 21:12:45;8.88;-0.02;8.87;60.5;0.04;정지
2020-03-01 22:02:18;10.06;-0.03;10.06;70.4;3.83;가동
2020-03-01 22:51:51;8.91;-0.02;8.9;60.5;0.04;정지
2020-03-01 23:41:25;10.04;-0.02;10.04;70.8;3.8;가동
2020-03-02 00:30:59;8.83;-0.02;8.83;60.2;0.04;정지
2020-03-02 01:20:33;10.12;-0.03;10.12;71.7;3.88;가동
2020-03-02 02:10:07;8.76;-0.03;8.75;60.0;0.04;정지
2020-03-02 02:59:41;9.86;-0.03;9.85;71.4;3.87;가동
2020-03-02 03:49:15;8.6;-0.03;8.6;59.1;0.04;정지
2020-03-02 04:38:48;9.66;-0.03;9.65;67.6;3.75;가동
2020-03-02 05:28:22;8.43;-0.02;8.43;57.4;0.04;정지
2020-03-02 06:17:56;9.14;-0.02;9.14;65.1;0.04;정지
2020-03-02 07:07:31;10.06;-0.03;10.06;69.6;3.85;가동
2020-03-02 07:57:05;9.36;-0.03;9.36;67.9;3.75;가동
2020-03-02 08:46:41;8.35;-0.02;8.35;61.5;0.04;정지
2020-03-02 09:36:15;9.2;-0.02;9.2;63.1;0.04;정지
2020-03-02 10:25:49;9.58;-0.03;9.58;71.6;3.77;가동
2020-03-02 11:15:22;10.05;-0.02;10.05;69.0;6.09;가동
2020-03-02 12:04:55;8.92;-0.02;8.92;70.6;5.78;가동
2020-03-02 12:54:28;8.85;-0.02;8.85;62.2;0.04;정지
2020-03-02 13:44:02;8.74;-0.02;8.75;68.1;0.04;정지
2020-03-02 14:33:35;9.23;-0.02;9.23;69.8;3.73;가동
2020-03-02 15:23:09;10.0;-0.02;10.0;73.2;3.77;가동
2020-03-02 16:12:44;8.7;-0.02;8.7;61.3;0.04;정지
2020-03-02 17:02:17;10.1;-0.02;10.09;73.0;3.79;가동
2020-03-02 17:51:50;8.45;-0.02;8.45;66.2;0.04;정지
2020-03-02 18:41:24;8.19;-0.02;8.19;59.5;0.04;정지
2020-03-02 19:30:58;10.16;-0.02;10.16;74.6;3.85;가동
2020-03-02 20:20:33;8.89;-0.03;8.89;67.0;0.04;정지
2020-03-03 03:11:06;8.89;-0.03;8.89;53.5;0.04;정지
2020-03-03 04:02:39;9.98;-0.03;9.97;71.0;3.75;가동
2020-03-03 04:52:15;8.88;-0.02;8.88;60.6;0.04;정지
2020-03-03 05:41:49;9.85;-0.03;9.85;70.6;3.75;가동
2020-03-03 06:31:23;10.05;-0.02;10.05;72.0;6.19;가동
2020-03-03 07:20:57;9.94;-0.02;9.94;72.3;3.8;가동
2020-03-03 08:10:31;8.93;-0.03;8.93;61.5;5.99;가동
2020-03-03 09:00:05;8.33;-0.03;8.33;64.7;0.04;정지
2020-03-03 09:49:38;8.93;-0.02;8.93;63.0;5.98;가동
2020-03-03 11:47:23;9.58;-0.02;9.58;63.7;3.77;가동
2020-03-03 12:36:57;10.19;-0.02;10.18;75.0;3.79;가동
2020-03-03 13:26:30;8.31;-0.02;8.31;61.2;0.04;정지
2020-03-03 14:16:03;9.8;-0.02;9.8;73.4;3.69;가동
2020-03-03 15:05:36;9.41;-0.02;9.4;63.9;0.04;정지
2020-03-03 15:55:09;9.38;-0.02;9.38;70.8;5.89;가동
2020-03-03 16:44:43;9.78;-0.02;9.78;67.3;3.86;가동
2020-03-03 17:34:17;9.55;-0.02;9.55;63.1;0.04;정지
2020-03-03 18:23:51;9.69;-0.02;9.69;66.5;3.7;가동
2020-03-03 19:13:25;9.12;-0.02;9.12;60.2;0.04;정지
2020-03-03 20:02:59;9.9;-0.02;9.9;64.7;3.82;가동
2020-03-03 20:52:32;9.6;-0.02;9.6;69.2;3.71;가동
2020-03-03 21:42:05;9.84;-0.02;9.84;71.8;3.82;가동
2020-03-03 22:31:38;8.96;-0.02;8.96;67.5;3.81;가동
2020-03-03 23:21:11;9.02;-0.02;9.02;68.3;3.81;가동
2020-03-04 00:10:45;9.69;-0.02;9.68;72.6;3.75;가동
2020-03-04 01:00:19;8.53;-0.02;8.53;62.9;0.04;정지
2020-03-04 01:49:54;9.38;-0.02;9.38;64.0;0.04;정지
2020-03-04 02:39:27;9.02;-0.02;9.02;61.4;0.04;정지
2020-03-04 03:29:00;8.43;-0.02;8.43;58.8;0.04;정지
2020-03-04 04:18:34;9.62;-0.02;9.62;67.2;3.85;가동
2020-03-04 05:12:02;9.24;-0.02;9.24;61.1;0.04;정지
2020-03-04 06:01:36;9.69;-0.02;9.69;66.8;3.88;가동
2020-03-04 06:51:09;8.25;-0.02;8.25;57.3;0.04;정지
2020-03-04 07:44:38;9.63;-0.02;9.63;61.8;0.04;정지
2020-03-04 08:34:11;8.8;-0.02;8.8;66.7;0.04;정지
2020-03-04 09:23:45;9.55;-0.03;9.54;67.2;3.85;가동
2020-03-04 10:13:20;9.68;-0.02;9.68;61.1;0.04;정지
2020-03-04 11:02:54;9.08;-0.02;9.08;64.1;0.04;정지
2020-03-04 11:52:28;9.1;-0.02;9.1;60.9;0.04;정지
2020-03-04 12:42:12;9.6;-0.02;9.6;66.2;3.76;가동
2020-03-04 13:31:45;9.33;-0.02;9.33;65.0;0.04;정지
2020-03-04 14:21:20;9.78;-0.02;9.78;67.7;5.99;가동
2020-03-04 15:10:53;8.7;-0.02;8.69;61.3;5.89;가동
2020-03-04 16:00:26;9.78;-0.02;9.78;72.8;3.8;가동
2020-03-04 16:50:00;9.52;-0.02;9.52;67.6;3.81;가동
2020-03-04 17:39:33;8.63;-0.02;8.63;64.5;0.04;정지
2020-03-04 18:29:07;9.6;-0.02;9.6;72.7;3.75;가동
2020-03-04 19:18:41;9.75;-0.02;9.75;70.7;3.75;가동
2020-03-04 20:08:14;10.05;-0.02;10.05;71.8;3.8;가동
2020-03-04 20:57:48;9.99;-0.02;9.98;71.6;3.73;가동
2020-03-04 21:47:22;9.01;-0.02;9.01;61.0;0.04;정지
2020-03-04 22:36:55;8.67;-0.02;8.67;60.2;0.04;정지
2020-03-04 23:26:29;10.11;-0.03;10.1;68.2;5.83;가동
2020-03-05 00:16:05;9.13;-0.02;9.13;63.2;0.04;정지
2020-03-05 01:05:39;10.03;-0.02;10.02;71.6;3.87;가동
2020-03-05 01:55:14;8.61;-0.02;8.61;59.7;0.04;정지
2020-03-05 02:44:48;9.4;-0.02;9.4;66.3;3.84;가동
2020-03-05 03:34:21;8.8;-0.03;8.8;58.8;5.94;가동
2020-03-05 04:23:55;10.18;0.6;10.17;73.1;6.18;가동
2020-03-05 05:13:28;9.02;-0.02;9.01;61.7;0.04;정지
2020-03-05 06:07:15;9.29;-0.02;9.29;64.8;3.8;가동
2020-03-05 06:56:49;9.35;-0.03;9.35;61.6;5.97;가동
2020-03-05 07:46:23;8.35;-0.02;8.35;66.1;0.04;정지
2020-03-05 08:35:57;10.18;-0.02;10.18;75.0;3.75;가동
2020-03-05 09:25:30;9.14;-0.02;9.14;65.0;0.04;정지
2020-03-05 10:15:05;10.08;-0.02;10.08;73.6;3.85;가동
2020-03-05 11:04:38;9.75;-0.02;9.75;68.5;3.75;가동
2020-03-05 11:54:12;9.17;-0.02;9.17;69.7;3.84;가동
2020-03-05 12:43:47;9.42;-0.02;9.42;68.1;3.69;가동
2020-03-05 13:33:20;8.59;-0.02;8.59;60.4;0.04;정지
2020-03-05 14:22:53;9.09;-0.02;9.09;69.1;3.84;가동
2020-03-05 15:12:27;9.18;-0.02;9.18;62.9;0.04;정지
2020-03-05 16:02:00;9.82;-0.02;9.82;73.7;3.81;가동
2020-03-05 16:51:33;8.84;-0.02;8.84;62.6;0.04;정지
2020-03-05 17:41:07;8.95;-0.02;8.95;63.1;5.99;가동
2020-03-05 18:30:42;9.44;-0.02;9.44;68.1;0.04;정지
2020-03-05 19:20:16;9.2;-0.02;9.2;64.8;0.04;정지
2020-03-05 20:09:50;8.86;-0.02;8.86;59.4;0.04;정지
2020-03-05 20:59:24;8.44;-0.02;8.44;57.0;0.04;정지
2020-03-05 21:48:58;9.93;-0.02;9.93;63.3;6.08;가동
2020-03-05 22:38:32;9.42;-0.03;9.42;65.9;3.86;가동
2020-03-05 23:28:05;9.3;-0.02;9.3;64.1;0.04;정지
2020-03-06 00:17:38;8.87;-0.02;8.87;60.3;0.04;정지
2020-03-06 02:32:26;9.68;-0.02;9.67;64.0;3.9;가동
2020-03-06 03:22:00;9.24;-0.02;9.24;65.2;3.79;가동
2020-03-06 04:11:43;10.07;-0.03;10.07;70.5;3.79;가동
2020-03-06 05:01:17;8.21;-0.03;8.21;58.7;0.04;정지
2020-03-06 05:50:50;8.5;-0.02;8.5;58.8;0.04;정지
2020-03-06 06:40:23;9.59;-0.02;9.59;71.5;3.84;가동
2020-03-06 07:29:58;9.77;-0.02;9.77;70.2;3.81;가동
2020-03-06 08:19:31;8.96;-0.02;8.96;64.3;0.04;정지
2020-03-06 09:09:04;8.43;-0.02;8.43;69.1;3.71;가동
2020-03-06 09:58:38;10.22;0.22;10.22;73.4;3.85;가동
2020-03-06 10:48:13;8.94;-0.02;8.94;62.7;0.04;정지
2020-03-06 13:23:52;8.67;-0.02;8.67;60.6;0.04;정지
2020-03-06 14:13:27;9.52;-0.02;9.52;67.5;3.72;가동
2020-03-06 15:03:00;8.72;-0.02;8.72;60.7;5.81;가동
2020-03-06 15:52:33;8.85;-0.02;8.85;61.9;0.04;정지
2020-03-06 16:42:06;9.74;-0.02;9.74;73.0;3.77;가동
2020-03-06 17:31:39;9.89;-0.02;9.89;72.5;3.82;가동
2020-03-06 18:21:13;9.87;-0.02;9.87;71.7;3.75;가동
