설비ID,측정시각,온도,진동,회전수,전류,가동상태
M003,2024-01-04 14:00,78.3,1.69,1561,9.46,정상
M001,2024-01-04 15:00,69.2,2.12,1475,10.65,점검필요
M008,2024-01-04 16:00,,2.11,1434,12.35,점검필요
M003,2024-01-04 17:00,78.7,2.03,1400,10.93,점검필요
M003,2024-01-04 18:00,62.6,1.98,1439,13.03,정상
M001,2024-01-04 19:00,70.9,2.1,1463,12.7,정상
M005,2024-01-04 20:00,69.1,2.7,1549,14.05,정상
M010,2024-01-04 21:00,76.6,2.8,1459,13.44,정상
M007,2024-01-04 22:00,70.6,2.5,1463,12.34,정상
M010,2024-01-04 23:00,74.0,2.24,1492,13.12,정상
M009,2024-01-05 00:00,62.5,3.27,1471,13.51,점검필요
M007,2024-01-05 01:00,91.0,2.45,1410,11.24,정상
M009,2024-01-05 02:00,65.4,3.06,1504,11.51,정상
M008,2024-01-05 03:00,84.6,2.16,1413,,점검필요
M002,2024-01-05 04:00,76.2,2.75,1459,11.29,정상
M001,2024-01-05 05:00,76.1,3.31,1429,13.52,정상
M007,2024-01-05 06:00,77.8,0.93,1434,11.06,점검필요
M007,2024-01-05 07:00,60.0,2.11,1564,13.88,정상
M008,2024-01-05 08:00,82.7,2.86,1404,11.45,정상
M005,2024-01-05 09:00,70.9,3.23,1482,12.71,정상
M003,2024-01-05 10:00,84.7,2.62,1522,12.25,정상
M008,2024-01-05 11:00,73.8,2.53,1477,10.54,정상
M006,2024-01-05 12:00,72.0,3.47,1553,11.97,정상
M003,2024-01-05 13:00,64.7,3.26,1461,12.5,점검필요
M001,2024-01-05 14:00,68.9,1.98,1531,11.9,점검필요
M003,2024-01-05 15:00,78.4,2.57,1488,9.99,정상
M005,2024-01-05 16:00,64.5,2.72,1441,14.55,점검필요
M003,2024-01-05 17:00,59.1,3.53,1488,12.13,점검필요
M001,2024-01-05 18:00,68.1,3.02,1545,10.81,정상
M005,2024-01-05 19:00,81.7,2.44,1439,14.43,정상
M010,2024-01-05 20:00,89.3,2.63,1471,12.93,정상
M007,2024-01-05 21:00,69.6,1.37,1438,10.2,정상
M007,2024-01-05 22:00,62.6,3.08,1503,10.43,정상
M009,2024-01-05 23:00,72.3,2.89,1413,11.67,정상
M010,2024-01-06 00:00,76.5,3.23,1431,28.3,정상
M010,2024-01-06 01:00,79.6,2.41,1578,12.93,정상
M003,2024-01-06 02:00,92.1,2.58,1524,13.43,정상
M007,2024-01-06 03:00,76.8,2.21,1565,12.81,정상
M001,2024-01-06 04:00,88.2,1.81,1496,14.02,정상
M004,2024-01-06 05:00,71.3,2.14,1422,12.19,정상
M004,2024-01-06 06:00,75.7,1.41,1462,10.86,정상
M005,2024-01-06 07:00,70.3,3.05,1542,11.99,정상
M007,2024-01-06 08:00,69.6,1.2,1552,11.9,정상
M007,2024-01-06 09:00,72.9,3.72,1544,8.13,정상
M004,2024-01-06 10:00,72.8,1.44,1593,11.16,점검필요
M007,2024-01-06 11:00,70.2,3.4,1452,12.47,정상
M003,2024-01-06 12:00,70.6,1.96,1503,11.36,정상
M006,2024-01-06 13:00,83.8,2.84,1503,11.03,정상
M002,2024-01-06 14:00,91.9,2.05,1578,13.37,정상
M010,2024-01-06 15:00,71.0,3.5,1438,10.63,정상
M009,2024-01-06 16:00,72.4,2.53,1578,13.07,정상
M005,2024-01-06 17:00,79.2,3.14,1597,10.0,정상
M006,2024-01-06 18:00,100.5,2.55,1533,16.14,정상
M004,2024-01-06 19:00,75.7,2.71,1466,11.68,정상
M010,2024-01-06 20:00,82.8,2.87,1534,11.52,점검필요
M007,2024-01-06 21:00,87.4,2.18,1578,13.71,정상
M009,2024-01-06 22:00,77.8,1.73,1599,11.37,정상
M007,2024-01-06 23:00,82.4,1.72,1441,14.18,정상
M001,2024-01-07 00:00,79.9,2.53,1591,12.56,정상
M001,2024-01-07 01:00,83.3,2.21,1414,11.82,정상
M009,2024-01-07 02:00,66.7,1.21,1510,11.66,정상
M009,2024-01-07 03:00,76.6,2.81,1556,13.81,정상
M004,2024-01-07 04:00,78.8,1.77,1432,12.35,정상
M009,2024-01-07 05:00,78.7,1.8,1554,12.65,정상
M003,2024-01-07 06:00,,2.48,1563,12.81,정상
M007,2024-01-07 07:00,78.6,1.96,1556,12.2,점검필요
M006,2024-01-07 08:00,65.8,2.57,1437,12.78,정상
M008,2024-01-07 09:00,79.7,3.68,1584,11.82,점검필요
M009,2024-01-07 10:00,67.9,2.27,1496,11.93,정상
M005,2024-01-07 11:00,69.4,1.86,1554,10.32,정상
M001,2024-01-07 12:00,71.7,2.61,1582,12.45,정상
M003,2024-01-07 13:00,74.1,2.03,1432,9.42,점검필요
M010,2024-01-07 14:00,62.7,2.51,1595,12.43,정상
M008,2024-01-07 15:00,83.9,2.69,1485,11.58,정상
M006,2024-01-07 16:00,65.8,2.48,1465,12.56,정상
M008,2024-01-07 17:00,87.6,2.53,1409,10.43,정상
M009,2024-01-07 18:00,66.0,2.62,1404,8.82,점검필요
M004,2024-01-07 19:00,85.3,3.46,1522,11.47,정상
M001,2024-01-07 20:00,74.8,2.35,1473,10.43,정상
M001,2024-01-07 21:00,61.3,2.58,1496,9.33,정상
M010,2024-01-07 22:00,66.7,3.02,1517,13.15,정상
M004,2024-01-07 23:00,85.6,2.78,1437,14.4,정상
M007,2024-01-08 00:00,78.6,2.29,1540,10.8,점검필요
M002,2024-01-08 01:00,74.4,3.04,1558,11.89,정상
M003,2024-01-08 02:00,57.3,1.98,1446,11.54,정상
M001,2024-01-08 03:00,86.1,2.36,1508,11.01,점검필요
M005,2024-01-08 04:00,90.0,2.04,1579,13.0,정상
M001,2024-01-08 05:00,88.5,2.85,1583,13.52,정상
M008,2024-01-08 06:00,70.1,3.21,1414,10.7,정상
M001,2024-01-08 07:00,78.1,2.63,1556,12.07,정상
M001,2024-01-08 08:00,78.9,2.55,1535,13.93,정상
M002,2024-01-08 09:00,62.8,1.97,1404,13.03,점검필요
M002,2024-01-08 10:00,76.4,2.08,1556,13.26,정상
M006,2024-01-08 11:00,83.6,1.78,1446,14.05,정상
M007,2024-01-08 12:00,81.1,1.19,1467,14.03,정상
M005,2024-01-08 13:00,66.1,2.27,1475,13.54,점검필요
M001,2024-01-08 14:00,68.1,2.32,1572,12.22,정상
M001,2024-01-08 15:00,81.3,3.8,1529,11.43,정상
M003,2024-01-08 16:00,80.1,3.44,1554,12.16,정상
M002,2024-01-08 17:00,57.0,2.83,1494,11.2,정상
M005,2024-01-08 18:00,55.3,3.75,1514,9.07,정상
M010,2024-01-08 19:00,74.4,3.33,1563,11.58,점검필요
M006,2024-01-08 20:00,70.3,1.3,1435,12.54,점검필요
M007,2024-01-08 21:00,72.6,3.14,1425,11.12,정상
M004,2024-01-08 22:00,71.7,2.93,1442,11.71,정상
M007,2024-01-08 23:00,82.9,2.33,1426,11.77,점검필요
M008,2024-01-09 00:00,75.8,1.65,1468,14.04,정상
M001,2024-01-09 01:00,77.1,2.86,1547,11.46,정상
M006,2024-01-09 02:00,64.3,1.25,1410,14.03,점검필요
M008,2024-01-09 03:00,48.1,2.49,1473,7.93,정상
M005,2024-01-09 04:00,84.0,2.13,1503,14.02,정상
M004,2024-01-09 05:00,92.1,1.74,1437,13.95,정상
M002,2024-01-09 06:00,72.3,3.21,1533,13.35,정상
M006,2024-01-09 07:00,77.0,2.48,1599,8.98,점검필요
